n,threads,version,time_sec,speedup,efficiency,mflops
2000,1,serial,0.002724,1.0000,100.00,2936.64
2000,1,v1_barrier,0.002597,1.0490,104.90,3080.48
2000,1,v2_dynamic_nowait,0.002571,1.0596,105.96,3111.63
2000,1,v3_static_nowait,0.002522,1.0802,108.02,3172.09
2000,2,serial,0.002724,1.0000,100.00,2936.64
2000,2,v1_barrier,0.001342,2.0300,101.50,5961.25
2000,2,v2_dynamic_nowait,0.001365,1.9958,99.79,5860.81
2000,2,v3_static_nowait,0.001293,2.1069,105.34,6187.16
2000,4,serial,0.002724,1.0000,100.00,2936.64
2000,4,v1_barrier,0.000742,3.6714,91.79,10781.67
2000,4,v2_dynamic_nowait,0.000760,3.5845,89.61,10526.32
2000,4,v3_static_nowait,0.000736,3.7014,92.53,10869.57
2000,8,serial,0.002724,1.0000,100.00,2936.64
2000,8,v1_barrier,0.000523,5.2088,65.11,15296.37
2000,8,v2_dynamic_nowait,0.000478,5.6992,71.24,16736.40
2000,8,v3_static_nowait,0.000524,5.1989,64.99,15267.18
2000,16,serial,0.002724,1.0000,100.00,2936.64
2000,16,v1_barrier,0.000441,6.1773,38.61,18140.59
2000,16,v2_dynamic_nowait,0.000411,6.6282,41.43,19464.72
2000,16,v3_static_nowait,0.000412,6.6121,41.33,19417.48
